JD,Flx(V),Q/I,E_Q/I,U/I,E_U/I,V-J
4800,0.1,0.1,0.3,0.05,0.3,0
4803,0.2,0.5,0.3,0.2,0.3,0
4806,0.1,0.8,0.3,0.8,0.3,0
4809,0.3,0.2,0.3,0.5,0.3,0
4812,0,0.05,0.3,0.1,0.3,0
4815,0.8,0.049692386,0.3,0.372891896,0.3,0
4818,1.8,-0.064574812,0.3,-0.400651309,0.3,0
4821,0.7,-0.415584707,0.3,-0.022066096,0.3,0
4824,0.3,-0.243735983,0.3,-0.481291062,0.3,0
4827,0.4,0.461969789,0.3,0.380850505,0.3,0
4830,1,-0.6,0.3,-0.5,0.3,0
4833,0.2,-1,0.3,-0.8,0.3,0
4836,0.1,-1.2,0.3,-1.3,0.3,0
4839,0.2,-1,0.3,-1.2,0.3,0
4842,0.2,-0.8,0.3,-1,0.3,0
4845,0.1,-0.5,0.3,-0.6,0.3,0
4848,0,-0.482480007,0.3,0.190586708,0.3,0
4851,0.1,-0.341655776,0.3,0.089252546,0.3,0
4854,0.1,0.124720325,0.3,-0.050782538,0.3,0
4857,0.4,0.202587323,0.3,-0.361666095,0.3,0
4860,0.2,-0.094713317,0.3,0.479988931,0.3,0
4863,0.9,-0.036405222,0.3,-0.250086671,0.3,0
4866,0.1,0.3,0.3,-0.6,0.3,0
4869,1.5,0.7,0.3,-1.1,0.3,0
4872,0,1,0.3,-1.3,0.3,0
4875,0.1,0.8,0.3,-0.8,0.3,0
4878,0.3,0.6,0.3,-0.6,0.3,0
4881,0.2,0.3,0.3,-0.5,0.3,0
